census c##1,=,5,6,=,0,8,=,1,9,>=,0,12,=,38#2142
census c##6,=,0#19716
census c##8,=,0,11,<=,39,5,=,0,6,=,4,3,<=,6,4,=,0#11
census c##0,>=,24,10,<=,0,2,=,11,3,>=,8,5,=,6,6,=,4#52
census c##1,=,3,2,=,8,5,=,2,0,>=,41#14
census c##6,=,0,4,=,2,2,=,15#3655
census c##8,=,1,1,=,3,4,=,4,13,=,0#6464
census c##7,=,4,8,=,1,6,=,0,5,=,2#3454
census c##4,=,2,5,=,3,0,>=,28,1,=,5,7,=,4,9,<=,0,6,=,0#191
census c##2,=,9,11,>=,44,10,>=,0,9,>=,0,1,=,3#1987
census c##3,>=,8#42434
census c##5,=,2,11,<=,49,4,=,2,0,>=,23,10,>=,0,7,=,4,2,=,12#14
census c##13,=,0,12,=,17,0,>=,64,9,>=,0#1
census c##0,>=,3,5,=,6#2939
census c##7,=,4,12,=,38,9,<=,0#35140
census c##9,>=,0,5,=,6,1,=,3,6,=,0#1248
census c##6,=,2,4,=,4,8,=,1,0,>=,4,9,>=,0#435
census c##10,>=,0,3,>=,9,7,=,4#23116
census c##12,=,38,1,=,3,11,<=,39,5,=,3#1841
census c##5,=,11,0,<=,3,9,>=,0,2,=,15,8,=,0,6,=,3#116
census c##12,=,38,11,>=,47,4,=,4,9,>=,0,2,=,12#153
census c##4,=,2,5,=,6,2,=,11,3,<=,8,10,<=,0,1,=,5,9,<=,14#16
census c##0,>=,24,2,=,12,3,>=,13#1628
census c##13,=,0,2,=,5#893
census c##11,>=,49,13,=,0,8,=,1,5,=,9,6,=,0,2,=,11#21
census c##5,=,7,7,=,1,8,=,0,9,<=,0,0,>=,22#34
census c##2,=,1,9,<=,0,10,<=,0#1680
census c##11,>=,39,1,=,3,2,=,11,10,>=,0#9322
census c##1,=,3,5,=,4,4,=,2,7,=,4,9,>=,0#267
census c##11,>=,39,0,<=,33#30114
census c##1,=,1,0,>=,14,10,<=,0,5,=,10,8,=,1,4,=,4#26
census c##12,=,38#43832
census c##12,=,24,3,>=,10,8,=,1,13,=,0,7,=,1#4
census c##12,=,38,9,<=,0,11,<=,27,10,>=,0#5308
census c##0,>=,17,2,=,6,1,=,1,8,=,1,3,<=,4,7,=,4,9,>=,0#17
census c##12,=,38,13,=,0,11,>=,47,3,>=,8,8,=,1,2,=,11#1679
census c##8,=,1,4,=,4,1,=,3,0,>=,6#4616
census c##5,=,11,13,=,0,0,>=,6,12,=,38,3,<=,12,6,=,1#920
census c##12,=,38,5,=,9,11,>=,39,10,<=,2,8,=,0,0,>=,19,6,=,4#235
census c##9,>=,0,8,=,0,4,=,0,0,<=,19,12,=,38,11,<=,39#864
census c##8,=,1,3,<=,13,10,>=,0#31467
census c##11,<=,44,6,=,1,4,=,6#764
census c##3,>=,9,8,=,1,7,=,4#15613
census c##7,=,4,1,=,1,3,>=,13,9,>=,95,10,>=,0,0,>=,35,4,=,2#10
census c##2,=,11#15784
census c##11,<=,49,10,<=,55,1,=,3,13,=,1,9,<=,0#4796
census c##3,>=,8,7,=,4,2,=,11,9,>=,0,11,<=,36,4,=,2#821
census c##8,=,0,4,=,5,9,>=,0,0,>=,23,5,=,7,3,<=,8,1,=,3#68
